Date,Close,Volume,Sentiment
2020-08-03,498.619995,5873100,2
2020-08-04,509.640015,5608000,1
2020-08-05,502.109985,4308200,1
2020-08-06,509.079987,3725900,0
2020-08-07,494.730011,5910300,0
2020-08-10,483.380005,4691200,0
2020-08-11,466.929993,7329200,0
2020-08-12,475.470001,5439200,2
2020-08-13,481.329987,3008900,1
2020-08-14,482.679993,2943500,1
2020-08-17,482.350006,2423500,2
2020-08-18,491.869995,3505500,0
2020-08-19,484.529999,3156200,2
2020-08-20,497.899994,5132500,1
2020-08-21,492.309998,3921300,1
2020-08-24,488.809998,4762200,1
2020-08-25,490.579987,5727700,1
2020-08-26,547.530029,20373700,2
2020-08-27,526.270020,9062900,2
2020-08-28,523.890015,4417500,2
2020-08-31,529.559998,4941400,2
2020-09-01,556.549988,9572700,2
2020-09-02,552.840027,5886900,2
2020-09-03,525.750000,9071100,2
2020-09-04,516.049988,8270100,2
2020-09-08,507.019989,5572700,2
2020-09-09,500.190002,6848100,2
2020-09-10,480.670013,6240200,0
2020-09-11,482.029999,5035200,1
2020-09-14,476.260010,7359100,2
2020-09-15,495.989990,5337000,1
2020-09-16,483.859985,4394900,0
2020-09-17,470.200012,5379300,1
2020-09-18,469.959991,6717700,2
2020-09-21,487.350006,5457500,2
2020-09-22,491.170013,3482300,0
2020-09-23,470.609985,3726400,0
2020-09-24,473.079987,3727200,1
2020-09-25,482.880005,3769400,2
2020-09-28,490.649994,4773500,1
2020-09-29,493.480011,3541500,2
2020-09-30,500.029999,4634100,2
2020-10-01,527.510010,8153700,0
2020-10-02,503.059998,6071200,2
2020-10-05,520.650024,4088100,0
2020-10-06,505.869995,4199000,2
2020-10-07,534.659973,7988700,1
2020-10-08,531.789978,5386500,2
2020-10-09,539.440002,4781300,1
2020-10-12,539.809998,5391100,2
2020-10-13,554.090027,5602500,0
2020-10-14,541.450012,9499000,1
2020-10-15,541.940002,5113100,0
2020-10-16,530.789978,6347400,1
2020-10-19,530.719971,7567500,1
2020-10-20,525.419983,10047200,0
2020-10-21,489.049988,17405700,0
2020-10-22,485.230011,6997900,0
2020-10-23,488.279999,4927900,1
2020-10-26,488.239990,6186100,1
2020-10-27,488.929993,3627200,1
2020-10-28,486.239990,5992700,2
2020-10-29,504.209991,11120700,0
2020-10-30,475.739990,7807900,2
2020-11-02,484.119995,4408200,1
2020-11-03,487.220001,3690200,1
2020-11-04,496.950012,5137300,2
2020-11-05,513.760010,5372800,1
2020-11-06,514.729980,4236300,0
2020-11-09,470.500000,10419700,0
2020-11-10,480.239990,8306100,2
2020-11-11,490.760010,5460500,2
2020-11-12,486.769989,5063700,2
2020-11-13,482.839996,3002700,1
2020-11-16,479.100006,3953600,1
2020-11-17,480.630005,3698100,1
2020-11-18,481.790009,3629200,1
2020-11-19,484.670013,2254700,1
2020-11-20,488.239990,4253400,1
2020-11-23,476.619995,5416600,1
2020-11-24,482.880005,3550500,1
2020-11-25,485.000000,3598600,1
2020-11-27,491.359985,2805800,1
2020-11-30,490.700012,3530900,2
2020-12-01,504.579987,5052700,1
2020-12-02,503.380005,3028400,0
2020-12-03,497.519989,2826100,1
2020-12-04,498.309998,3666200,2
2020-12-07,515.780029,4289300,1
2020-12-08,512.659973,4229000,0
2020-12-09,493.600006,4178800,2
2020-12-10,501.089996,3018200,1
2020-12-11,503.220001,3210900,2
2020-12-14,522.419983,5770400,2
2020-12-15,519.780029,3394900,1
2020-12-16,524.830017,3682400,2
2020-12-17,532.900024,3193400,1
2020-12-18,534.450012,4502700,1
2020-12-21,528.909973,3894000,1
2020-12-22,527.330017,1906600,1
2020-12-23,514.479980,2393200,0
2020-12-24,513.969971,1144000,1
2020-12-28,519.119995,2891900,1
2020-12-29,530.869995,4022400,2
2020-12-30,524.590027,1876300,1
2020-12-31,540.729980,5392300,0
2021-01-04,522.859985,4444400,1
2021-01-05,520.799988,3133900,0
2021-01-06,500.489990,5346200,2
2021-01-07,508.890015,3686400,1
2021-01-08,510.399994,2973900,0
2021-01-11,499.100006,3806200,1
2021-01-12,494.250000,5990400,1
2021-01-13,507.790009,5032100,1
2021-01-14,500.859985,4177400,1
2021-01-15,497.980011,5895800,2
2021-01-19,501.769989,12315800,2
2021-01-20,586.340027,32637500,2
2021-01-21,579.840027,11802100,1
2021-01-22,565.169983,7550800,0
2021-01-25,556.780029,7207300,1
2021-01-26,561.929993,5023800,0
2021-01-27,523.280029,8670300,1
2021-01-28,538.599976,5969000,1
2021-01-29,532.390015,4325300,2
2021-02-01,539.039978,3547500,2
2021-02-02,548.159973,3767600,1
2021-02-03,539.450012,3172300,2
2021-02-04,552.159973,5164500,1
2021-02-05,550.789978,2376200,1
2021-02-08,547.919983,2791700,1
2021-02-09,559.070007,3703500,1
2021-02-10,563.590027,3991300,1
2021-02-11,557.590027,2730600,1
2021-02-12,556.520020,2197100,1
2021-02-16,557.280029,2624100,1
2021-02-17,551.340027,2069600,0
2021-02-18,548.219971,2456200,0
2021-02-19,540.219971,2841500,0
2021-02-22,533.780029,3078600,2
2021-02-23,546.150024,4136500,2
2021-02-24,553.409973,3245000,1
2021-02-25,546.700012,4252900,0
2021-02-26,538.849976,3755600,2
2021-03-01,550.640015,3041400,2
2021-03-02,547.820007,3042200,1
2021-03-03,520.700012,5362400,0
2021-03-04,511.290009,5034800,0
2021-03-05,516.390015,5070000,1
2021-03-08,493.329987,3981800,0
2021-03-09,506.440002,3470000,1
2021-03-10,504.540009,3771500,1
2021-03-11,523.059998,4714500,1
2021-03-12,518.020020,3981700,1
2021-03-15,520.250000,3484300,1
2021-03-16,524.030029,3238900,1
2021-03-17,524.440002,2817400,1
2021-03-18,504.790009,4094500,1
2021-03-19,512.179993,4386400,1
2021-03-22,523.109985,3360600,2
2021-03-23,535.090027,5583500,0
2021-03-24,520.809998,4102200,0
2021-03-25,502.859985,4926800,0
2021-03-26,508.049988,3467800,1
2021-03-29,513.950012,3330000,1
2021-03-30,513.390015,2418100,1
2021-03-31,521.659973,3503100,2
2021-04-01,539.419983,3938600,2
2021-04-05,540.669983,3355900,1
2021-04-06,544.530029,3474200,1
2021-04-07,546.989990,2151300,2
2021-04-08,554.580017,4309800,1
2021-04-09,555.309998,2894000,1
2021-04-12,552.780029,2944100,1
2021-04-13,553.729980,2720300,1
2021-04-14,540.020020,3740300,0
2021-04-15,549.219971,3139100,1
2021-04-16,546.539978,3209100,1
2021-04-19,554.440002,4288700,2
2021-04-20,549.570007,11257600,1
2021-04-21,508.899994,22897400,0
2021-04-22,508.779999,9061100,0
2021-04-23,505.549988,7307700,1
2021-04-26,510.299988,4388800,1
2021-04-27,505.549988,3761300,1
2021-04-28,506.519989,3193000,1
2021-04-29,509.000000,5127800,1
2021-04-30,513.469971,4413200,1
2021-05-03,509.109985,4091900,0
2021-05-04,503.179993,4349500,0
2021-05-05,496.079987,3129400,0
2021-05-06,499.549988,3783700,2
2021-05-07,503.839996,3132800,0
2021-05-10,486.690002,5131600,1
2021-05-11,495.079987,4401000,0
2021-05-12,484.980011,4121500,0
2021-05-13,486.660004,2712500,1
2021-05-14,493.369995,2882500,1
2021-05-17,488.940002,2705200,1
2021-05-18,486.279999,2350500,1
2021-05-19,487.700012,3349900,2
2021-05-20,501.670013,3721200,1
2021-05-21,497.890015,3322900,2
2021-05-24,502.899994,2412600,1
2021-05-25,501.339996,2699500,1
2021-05-26,502.359985,2465300,1
2021-05-27,503.859985,3253800,1
2021-05-28,502.809998,2910300,1
2021-06-01,499.079987,2482600,1
2021-06-02,499.239990,2269000,0
2021-06-03,489.429993,3887400,2
2021-06-04,494.739990,3160500,1
2021-06-07,494.660004,2791900,1
2021-06-08,492.390015,2374000,1
2021-06-09,485.809998,3055000,1
2021-06-10,487.269989,4382900,1
2021-06-11,488.769989,3124000,2
2021-06-14,499.890015,4400200,1
2021-06-15,491.899994,3104100,1
2021-06-16,492.410004,3533200,1
2021-06-17,498.339996,3198300,1
2021-06-18,500.769989,5197600,1
2021-06-21,497.000000,5277300,2
2021-06-22,508.820007,5809300,2
2021-06-23,512.739990,3944800,2
2021-06-24,518.059998,3361200,2
2021-06-25,527.070007,5299100,2
2021-06-28,533.030029,2820200,2
2021-06-29,533.500000,2314600,1
2021-06-30,528.210022,2773400,1
2021-07-01,533.539978,2805400,2
2021-07-02,533.979980,1975500,2
2021-07-06,541.640015,2775100,1
2021-07-07,535.960022,2722500,1
2021-07-08,530.760010,3269000,1
2021-07-09,535.979980,2777200,1
2021-07-12,537.309998,1780700,1
2021-07-13,540.679993,2751600,2
2021-07-14,547.950012,4659500,2
2021-07-15,542.950012,5713900,1
2021-07-16,530.309998,3442100,1
2021-07-19,532.280029,3885800,1
2021-07-20,531.049988,6930400,0
2021-07-21,513.630005,11906800,1
2021-07-22,511.769989,4328100,1
2021-07-23,515.409973,3820500,1
2021-07-26,516.489990,2254500,1
2021-07-27,518.909973,2759000,1
2021-07-28,519.299988,2390500,1
2021-07-29,514.250000,1736000,1
2021-07-30,517.570007,2537100,1
2021-08-02,515.150024,2096600,1
2021-08-03,510.820007,2579400,1
2021-08-04,517.349976,2039400,2
2021-08-05,524.890015,2556700,1
2021-08-06,520.549988,1919800,1
2021-08-09,519.969971,1367800,0
2021-08-10,515.840027,1960500,0
2021-08-11,512.400024,1673900,1
2021-08-12,510.720001,1685700,1
2021-08-13,515.919983,2177700,1
2021-08-16,517.919983,2032800,1
2021-08-17,518.909973,2309800,1
2021-08-18,521.869995,2582000,2
2021-08-19,543.710022,7497300,1
2021-08-20,546.880005,3776400,2
2021-08-23,553.330017,2602000,1
2021-08-24,553.409973,2109500,0
2021-08-25,547.580017,2065600,2
2021-08-26,550.119995,1595500,2
2021-08-27,558.919983,3252600,2
2021-08-30,566.179993,2434800,2
2021-08-31,569.190002,2431900,2
2021-09-01,582.070007,5626200,2
2021-09-02,588.549988,6179900,2
2021-09-03,590.530029,2681200,2
2021-09-07,606.710022,5821400,2
2021-09-08,606.049988,5424500,1
2021-09-09,597.539978,2954200,1
2021-09-10,598.719971,3950800,1
2021-09-13,589.289978,3062900,0
2021-09-14,577.760010,3457000,2
2021-09-15,582.869995,2755600,2
2021-09-16,586.500000,1832000,2
2021-09-17,589.349976,4145100,0
2021-09-20,575.429993,3732200,0
2021-09-21,573.140015,2250900,1
2021-09-22,590.650024,4021800,2
2021-09-23,593.260010,2526200,1
2021-09-24,592.390015,2126200,1
2021-09-27,592.640015,2504700,1
2021-09-28,583.849976,4431100,1
2021-09-29,599.059998,6221000,1
2021-09-30,610.340027,6612600,1
2021-10-01,613.150024,4090800,2
2021-10-04,603.349976,4995900,2
2021-10-05,634.809998,9534300,2
2021-10-06,639.099976,4580400,2
2021-10-07,631.849976,3556900,2
2021-10-08,632.659973,3272100,2
2021-10-11,627.039978,2862500,2
2021-10-12,624.940002,3227300,2
2021-10-13,629.760010,2420300,2
2021-10-14,633.799988,2671700,2
2021-10-15,628.289978,4116900,2
2021-10-18,637.969971,4669100,2
2021-10-19,639.000000,7633100,2
2021-10-20,625.140015,10622000,2
2021-10-21,653.159973,8437100,2
2021-10-22,664.780029,6186000,2
